"Todoist Inbox","2016-08-23T06:03:40+00:00",192,21235876
"Learn and setup git ","2016-08-23T06:06:57+00:00",5328,21254361
"Mad","2016-08-23T07:36:10+00:00",1081,21235876
"KhanAcademy Core Finance","2016-08-23T07:54:23+00:00",3400,21254361
"KhanAcademy Core Finance","2016-08-23T09:13:15+00:00",2712,21254361
"Mad","2016-08-23T09:58:32+00:00",899,21235876
"Meditate","2016-08-23T10:13:32+00:00",636,21254284
"KhanAcademy Core Finance","2016-08-23T10:24:11+00:00",6497,21254361
"Mad","2016-08-23T12:12:32+00:00",896,21235876
"Game","2016-08-23T12:27:32+00:00",3940,21236783
"Mad","2016-08-23T13:32:49+00:00",1320,21235876
"The Willpower Instinct","2016-08-23T13:55:02+00:00",829,21254344
"Barbere for at vedligeholde hud","2016-08-23T14:14:27+00:00",401,21235876
"Træne","2016-08-23T14:21:10+00:00",455,21235876
"Repetere anki flashcards","2016-08-23T15:05:51+00:00",186,21254348
